                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12815,                0.13434,               0.032578,               0.042348,             0.00039186,               0.017424,              0.0026127,             0.00075907,             0.00064503,               0.026515,              0.0033964,             0.00091583,                0.12333,               0.092192,               0.028393,               0.041844,                 0.0928,                 0.0008,                 0.0008
                      1,                0.12244,               0.087115,               0.039544,               0.041469,               0.003287,               0.096658,               0.014733,              0.0031713,              0.0017502,               0.053621,               0.013425,              0.0031531,                0.11268,               0.070334,               0.032861,                0.04051,               0.084692,              0.0016924,              0.0016924
                      2,                0.11184,               0.068077,               0.041736,               0.040003,              0.0079261,                0.22526,               0.026936,               0.011024,               0.011779,                0.32841,               0.036995,               0.009553,                0.10161,               0.062602,               0.034647,               0.038838,               0.076577,              0.0025766,              0.0025766
                      3,                0.10314,               0.060541,               0.046431,               0.038483,               0.014969,                0.39031,               0.035491,               0.010208,               0.017724,                0.43196,               0.057193,               0.018526,               0.094431,               0.056983,               0.034097,               0.037458,               0.068453,              0.0034527,              0.0034527
                      4,                0.09957,               0.051821,               0.044581,               0.037055,                0.17744,                0.14124,               0.053776,               0.017028,                0.17506,                0.13252,               0.047091,               0.018672,                0.10166,                 0.0577,               0.033242,               0.036361,               0.060321,              0.0043208,              0.0043208
                      5,               0.098978,               0.049452,               0.041324,               0.036126,                0.11094,               0.051396,                0.01533,              0.0041217,                 0.1336,                 0.1367,               0.043362,              0.0095929,                0.10834,               0.057512,               0.035747,               0.035213,               0.052181,              0.0051807,              0.0051807
                      6,               0.097564,               0.044651,               0.040997,               0.035172,                0.11636,                0.11792,               0.025066,              0.0059745,                0.13058,                 0.2064,               0.037655,               0.010088,                0.10562,               0.052772,               0.034364,               0.033518,               0.044033,              0.0060326,              0.0060326
                      7,               0.097418,               0.039358,               0.039097,               0.034296,                0.35314,                0.12704,               0.066932,               0.016774,                0.25851,                0.17959,               0.071659,               0.018879,                0.10534,               0.047747,               0.034092,               0.031854,               0.035876,              0.0068763,              0.0068763
                      8,                0.10335,               0.051179,               0.038465,               0.033027,                0.59402,               0.081896,               0.089582,               0.025064,                0.30927,                0.25477,                 0.1396,               0.033912,               0.098701,               0.063729,                0.03073,               0.030859,               0.027712,               0.007712,               0.007712
                      9,               0.093147,               0.044425,               0.036204,               0.032737,                 0.6468,                0.11494,                0.13748,               0.043119,                0.59366,                0.11242,                0.11381,               0.037693,               0.087857,               0.051036,               0.032911,               0.030615,                0.01954,              0.0085395,              0.0085395
                     10,               0.085976,               0.044473,               0.040565,                0.03232,                0.42176,                0.13755,                0.11424,               0.038759,                0.45264,                0.20216,                0.15991,                0.04595,                0.10827,               0.045282,               0.029635,               0.028684,               0.011359,               0.009359,               0.009359
                     11,                0.10351,               0.040391,               0.032599,               0.031032,                0.80203,               0.094697,                0.13473,                0.04768,                0.56979,                0.12883,                0.10332,               0.043744,               0.097378,               0.054952,               0.025571,               0.028158,               0.009505,               0.009505,               0.009505
                     12,               0.098966,               0.040868,               0.031789,               0.030355,                0.69004,                0.28872,                0.23364,               0.077919,                0.67995,                0.26372,                0.24747,                0.11487,               0.083919,               0.054443,               0.027309,               0.027639,               0.009505,               0.009505,               0.009505
