                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.096395,               0.059829,                  0.061,               0.023701,                0.60764,                0.30258,                0.32094,                0.12416,                0.61037,                0.31197,                 0.3384,                0.15654,               0.085942,               0.029444,               0.049688,               0.012198,               0.070423,              0.0032864,              0.0032864
                      1,               0.080063,               0.030152,               0.048094,               0.014825,                0.21272,                0.65504,                0.30451,                0.13169,                0.34448,                0.82746,                0.50405,                0.24751,               0.085981,               0.023251,               0.031253,              0.0085876,               0.040393,              0.0065899,              0.0065899
                      2,               0.081941,               0.027488,               0.044425,               0.012121,                 0.6376,                0.66658,                0.62981,                0.22092,                0.64252,                0.67395,                0.75768,                0.40362,               0.076131,               0.022046,               0.032524,              0.0070544,               0.010333,              0.0098635,              0.0098635
                      3,               0.073944,               0.025049,               0.044761,               0.010246,                0.36566,                0.75946,                0.58275,                0.22559,                0.33761,                0.71104,                0.54531,                0.30913,               0.067522,               0.020307,               0.035728,              0.0059141,               0.009865,               0.009865,               0.009865
                      4,               0.063921,               0.023868,               0.042156,              0.0086319,                0.59081,                0.82557,                0.80622,                0.34182,                0.70855,                0.73958,                0.85579,                0.54885,               0.061926,               0.020949,               0.031745,              0.0045495,               0.009865,               0.009865,               0.009865
                      5,               0.056606,                0.02327,                0.04118,              0.0075209,                0.49326,                0.80456,                0.68981,                0.36238,                0.51063,                0.82467,                0.69346,                0.41661,               0.053098,               0.019742,               0.028006,              0.0047825,                0.00982,                0.00982,                0.00982
                      6,               0.052994,                0.02249,               0.039557,              0.0064996,                0.90389,                0.85793,                0.93671,                0.47955,                0.89594,                0.85502,                0.92193,                 0.6068,               0.035518,               0.019048,               0.025022,               0.004063,               0.009775,               0.009775,               0.009775
                      7,               0.048406,                0.02142,               0.037744,              0.0057528,                0.89332,                0.97033,                0.97461,                0.57594,                0.91831,                0.85441,                0.90367,                0.60792,                0.03189,               0.018176,               0.025994,              0.0042298,                0.00973,                0.00973,                0.00973
                      8,               0.044706,                0.02101,               0.035332,               0.005302,                0.79422,                0.98498,                0.96618,                0.61214,                0.84324,                0.80478,                0.86355,                 0.6428,               0.036848,               0.018189,               0.025163,              0.0036787,               0.009685,               0.009685,               0.009685
                      9,               0.046225,               0.021035,               0.038658,              0.0049903,                0.82108,                0.93191,                0.89501,                0.44353,                0.74472,                0.88942,                 0.8312,                0.45197,               0.048956,                0.01817,               0.028551,              0.0033949,                0.00964,                0.00964,                0.00964
                     10,               0.041744,               0.021187,               0.035443,              0.0047622,                0.89798,                0.99035,                0.98727,                0.67099,                0.84191,                 0.9338,                0.91899,                0.72963,               0.030479,               0.018562,               0.024448,              0.0031966,               0.009595,               0.009595,               0.009595
                     11,               0.041437,               0.020272,               0.035372,              0.0042331,                0.90534,                0.98082,                0.96783,                0.62691,                0.90486,                0.87995,                0.89757,                0.68169,               0.036011,               0.017853,               0.024449,              0.0031887,                0.00955,                0.00955,                0.00955
                     12,               0.041712,               0.019515,               0.037361,              0.0040513,                0.83697,                 0.8795,                0.92921,                0.56937,                 0.8292,                0.86699,                0.88831,                0.61025,               0.039811,               0.017374,               0.025068,              0.0028191,               0.009505,               0.009505,               0.009505
                     13,               0.040302,               0.019511,               0.035474,              0.0038131,                 0.8638,                0.95898,                0.88417,                0.59903,                0.80747,                0.88946,                0.81445,                0.64434,               0.027022,               0.017771,               0.023064,               0.002861,                0.00946,                0.00946,                0.00946
                     14,               0.039704,                0.01934,               0.033826,              0.0038137,                0.98548,                0.98953,                0.98911,                0.72362,                0.93802,                0.93966,                0.94198,                0.66622,               0.031014,               0.017389,                 0.0243,              0.0027333,               0.009415,               0.009415,               0.009415
                     15,               0.038332,               0.018724,               0.035389,              0.0033073,                 0.9572,                0.97787,                0.97195,                0.62954,                0.95486,                0.97478,                0.96736,                0.76743,               0.029691,               0.017175,               0.024488,               0.002639,                0.00937,                0.00937,                0.00937
